"X","id","brand","category","rating","number_of_reviews","love","price","value_price","MarketingFlags","online_only","exclusive","limited_edition","limited_time_offer","has_options","has_instructions","known_ingredients","has_size","unit","pure_num","Phenoxyethanol","Glycerin","Caprylyl.Glycol","Dimethicone","Silica","Butylene.Glycol","Limonene","Tocopherol","Water","Ethylhexylglycerin","Linalool","Fragrance","Citric.Acid","Tocopheryl.Acetate","Mica","Caprylic.Capric.Triglyceride","Peg","Potassium.Sorbate","Retinyl.Palmitate","Sodium.Hyaluronate","Citronellol","Geraniol","Xanthan.Gum","PEG","log_price"
91,2255503,"Algenist","Skincare",4.5,72,2400,85,85,"True",0,1,0,0,0,1,1,1,"in mL",30,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,4.44265125649032
92,2239945,"Algenist","Skincare",4,14,1400,38,38,"False",0,0,0,0,0,1,1,1,"in mL",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63758615972639
93,1957208,"Algenist","Skincare",4.5,37,2200,96,96,"False",0,0,0,0,0,1,1,1,"in mL",60,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,4.56434819146784
94,1328814,"Algenist","Skincare",4,299,5400,98,98,"False",0,0,0,0,0,1,1,1,"in mL",30,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4.58496747867057
95,1357821,"Algenist","Skincare",4.5,240,4800,28,28,"False",0,0,0,0,0,1,1,1,"in mL",120,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3.3322045101752
96,1792951,"Algenist","Face",4.5,83,3800,36,36,"False",0,0,0,0,0,1,1,1,"in mL",30,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,3.58351893845611
97,2239937,"Algenist","Body",4,10,1700,60,60,"True",1,0,0,0,0,1,1,1,"in mL",230,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,4.0943445622221
98,1789999,"Algenist","Misc",4,269,14600,38,38,"False",0,0,0,0,0,1,1,1,"in mL",15,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3.63758615972639
99,1629948,"Algenist","Skincare",4.5,160,9900,25,25,"False",0,0,0,0,0,1,1,1,"in mL",150,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.2188758248682
100,1862549,"Algenist","Makeup",4.5,100,6400,38,38,"True",0,1,0,0,0,1,1,1,"in mL",15,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,3.63758615972639
